company,job_title,linkedin_job_id,location,posted_on,posted_date,Employment type,Seniority level
Google,"Marketing Analytics Manager, Ads Marketing",3972891991,"Gurugram, Haryana, India",1 week ago,2024-08-06,None,None
Microsoft,Software Engineering: Internship Opportunity,3982193847,"Maharashtra, India",21 hours ago,2024-08-13,None,None
Google,"Media lead, Marketing",3991696164,"Gurgaon, Haryana, India",1 week ago,2024-08-05,None,None
Google,"Account Manager, Ad Sales",3931427773,"Gurgaon, Haryana, India",1 week ago,2024-08-04,None,None
Google,Internal Communications Specialist,3995442393,"Gurugram, Haryana, India",4 days ago,2024-08-09,None,None
Google,"Embedded Software Engineer, University Graduate, 2025",3989182741,"Bengaluru, Karnataka, India",1 week ago,2024-08-02,None,None
Google,"Growth Manager, AppDev (English, Hindi)",3966925309,"Gurugram, Haryana, India",2 weeks ago,2024-07-26,None,None
Google,"Software Engineer, Google Ads",3951083338,"Bengaluru, Karnataka, India",1 week ago,2024-07-31,None,None
Google,"Business Development Consultant, New Business Sales",3998804363,Mumbai Metropolitan Region,13 hours ago,2024-08-13,None,None
Google,"Customer Onboarding Strategist, Acquisitions, Google Customer Solutions",3978289186,"Bengaluru, Karnataka, India",3 days ago,2024-08-10,None,None
Google,"Product Manager, Customer Engagement",3982756112,"Hyderabad, Telangana, India",2 weeks ago,2024-07-26,None,None
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",3969518833,"Gurugram, Haryana, India",1 week ago,2024-08-01,None,None
Microsoft,Software Engineer,3962920118,"Bengaluru, Karnataka, India",21 hours ago,2024-08-13,None,None
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",3969521807,Mumbai Metropolitan Region,1 week ago,2024-08-01,None,None
Google,"Software Engineer, Search",3994807577,"Bengaluru, Karnataka, India",5 days ago,2024-08-09,None,None
Google,"Software Engineer, YouTube",3978288233,"Bengaluru, Karnataka, India",3 days ago,2024-08-10,None,None
Google,"Logistics Operations Manager, Data Centers",3996435390,Mumbai Metropolitan Region,1 day ago,2024-08-12,None,None
Google,"Program Manager, Strategy and Operations",3980753869,"Hyderabad, Telangana, India",3 weeks ago,2024-07-24,None,None
Google,"Software Engineer, Payments",3968094206,"Bengaluru, Karnataka, India",1 week ago,2024-07-31,None,None
Google,"Strategy and Operations Lead, Go-To-Market",3989182736,"Gurgaon, Haryana, India",1 week ago,2024-08-02,None,None
Google,"Software Engineer, Payments",3961739411,"Hyderabad, Telangana, India",3 days ago,2024-08-10,None,None
Google,"Product Manager, Search",3970467387,"Bengaluru, Karnataka, India",1 week ago,2024-08-02,None,None
Google,"Business Intelligence Analyst, Finance",3987929668,"Bengaluru, Karnataka, India",1 week ago,2024-08-01,None,None
